condition,method,status,metric,mean,std_population,std_sample,n
aniso_k3,B,complete,tail_exc_95,0.00040000006556506484,0.0,0.0,3
aniso_k3,B,complete,tail_exc_99,0.003100000098347655,0.0,0.0,3
aniso_k3,B,complete,total_train_time_s,29.52309328565995,1.074865499969626,1.3164360085235558,3
aniso_k3,C,complete,angular_sw_bin0,0.008828899202247461,0.00035960280099150803,0.00044042168625239977,3
aniso_k3,C,complete,angular_sw_bin1,0.007616490280876557,0.00025595152007450335,0.0003134753115361293,3
aniso_k3,C,complete,angular_sw_bin2,0.007758430981387694,0.00021341776359872048,0.00026138231143139543,3
aniso_k3,C,complete,angular_sw_bin3,0.00918808983018001,0.00041505121202460907,0.000508331843292003,3
aniso_k3,C,complete,angular_sw_mean,0.00834797757367293,0.00016128450068458264,0.00019753236504839583,3
aniso_k3,C,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k3,C,complete,inf_rate,0.0,0.0,0.0,3
aniso_k3,C,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k3,C,complete,ks_stat,0.015500009059906006,0.0,0.0,3
aniso_k3,C,complete,mmd,0.00019653638203938803,6.2060111380750775e-06,7.60078031315653e-06,3
aniso_k3,C,complete,nan_rate,0.0,0.0,0.0,3
aniso_k3,C,complete,nfe,512,0.0,0.0,3
aniso_k3,C,complete,q950_err,7.156349576331993e-05,8.843001405092124e-08,1.0830420618595194e-07,3
aniso_k3,C,complete,q990_err,0.011286100988406138,8.138892115671602e-08,9.968066377478235e-08,3
aniso_k3,C,complete,q995_err,0.018061930160347777,1.2954983285849454e-07,1.5866549338307876e-07,3
aniso_k3,C,complete,radial_w1,0.03585304940740267,8.78059343976959e-09,1.0753986783132438e-08,3
aniso_k3,C,complete,sample_time_s,0.2547219942013423,0.007975951025986057,0.009768505113546905,3
aniso_k3,C,complete,sliced_w1,0.04770535478989283,0.0010381402178315502,0.0012714569075745381,3
aniso_k3,C,complete,tail_exc_95,0.00040000006556506484,0.0,0.0,3
aniso_k3,C,complete,tail_exc_99,0.003100000098347655,0.0,0.0,3
aniso_k3,C,complete,total_train_time_s,29.192205145955086,1.7758911494579117,2.1750135774482913,3
aniso_k3,tflow,complete,angular_sw_bin0,0.03922149911522865,0.009376804276102647,0.011484192947199438,3
aniso_k3,tflow,complete,angular_sw_bin1,0.03586943633854389,0.009933690496106123,0.012166236489097343,3
aniso_k3,tflow,complete,angular_sw_bin2,0.03880013773838679,0.013096411047364635,0.016039762263895987,3
aniso_k3,tflow,complete,angular_sw_bin3,0.048877677569786705,0.010728379819118578,0.013139528161806503,3
aniso_k3,tflow,complete,angular_sw_mean,0.04069218769048651,0.010711097726655688,0.013118362007695663,3
aniso_k3,tflow,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k3,tflow,complete,inf_rate,0.0,0.0,0.0,3
aniso_k3,tflow,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k3,tflow,complete,ks_stat,0.2882000207901001,0.03907795730646387,0.047860527795551104,3
aniso_k3,tflow,complete,mmd,0.03172377745310465,0.01920060873521992,0.023515847076057143,3
aniso_k3,tflow,complete,n_params,41504,0.0,0.0,3
aniso_k3,tflow,complete,nan_rate,0.0,0.0,0.0,3
