condition,method,seed,status,metric,value,result_path
aniso_k1,A,8925,complete,q950_err,0.00321435838644018,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,q990_err,0.0008871463042915809,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,q995_err,0.0030267511836484843,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,radial_w1,0.01235888246446848,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,sample_time_s,0.18745921552181244,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,sliced_w1,0.02084311842918396,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,tail_exc_95,0.002500000596046492,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,tail_exc_99,0.0002000003680586726,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,total_train_time_s,28.403598748147488,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,77395,complete,angular_sw_bin0,0.008433721028268337,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,angular_sw_bin1,0.008194484747946262,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
